Avg size,,,,,,,
,,count=10,count=20,count=100,count=200,count=500,
,k=20,144.78 ,140.15 ,131.41 ,128.63 ,125.93 ,
,k=50,135.77 ,132.17 ,125.66 ,123.67 ,121.55 ,
,k=100,129.21 ,126.64 ,121.76 ,120.23 ,118.48 ,
,k=200,123.91 ,121.82 ,118.30 ,116.97 ,115.59 ,
,k=500,118.00 ,116.83 ,114.54 ,113.51 ,112.49 ,
,,,,,,,
,,,,,,,
Avg time(s),,,,,,,
,,count=10,count=20,count=100,count=200,count=500,
,k=20,87.21 ,86.44 ,100.50 ,116.48 ,166.37 ,
,k=50,98.37 ,98.82 ,123.00 ,125.96 ,171.25 ,
,k=100,106.36 ,105.70 ,128.84 ,127.63 ,168.39 ,
,k=200,114.78 ,113.00 ,135.32 ,133.23 ,168.55 ,
,k=500,133.12 ,130.31 ,133.19 ,142.88 ,172.77 ,
